campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
425,skipped_v4,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,,0,skip_large_source_for_gate_probe,HighLeak,HighLeak,676,676,0,213,213,1320,1320,27,27,27.9,27.9,18.343,18.343,27,27,1.624,1.624,True
387,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L387_original_20260625_064105.asset,0,copy,HighLeak,HighLeak,662,662,0,149,149,1096,1096,34,34,30.9,30.9,15.799,15.799,34,34,1.896,1.896,True
387,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L387_gate_20260625_064105.asset,8,redirect:reverse:27:score 662->636:outer 34->33:open 34->33:avg 15.799->14.362|reverse:18:score 636->621:outer 33->32:open 33->32:avg 14.362->13.886|reverse:21:score 621->608:outer 32->31:open 32->31:avg 13.886->13.644|reverse:13:score 608->597:outer 31->30:open 31->30:avg 13.644->13.523|gateFold:2+9:len 7+8->15:score 597->577:chains 149->148:open 30->28:outer 30->28:avg 13.523->13.351|gateFold:22+15:len 8+9->17:score 577->563:chains 148->147:open 28->27:outer 28->27:avg 13.351->13.163|gateFold:17+32:len 11+7->18:score 563->558:chains 147->146:open 27->26:outer 27->26:avg 13.163->13.151|gateFold:20+24:len 6+6->12:score 558->547:chains 146->145:open 26->25:outer 26->25:avg 13.151->13.345,HighLeak,MediumLeak,662,547,-115,149,145,1096,1096,34,25,30.9,23.8,15.799,13.345,34,25,1.896,1.775,True
474,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L474_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,625,625,0,178,178,1124,1124,25,25,25.6,25.6,15.899,15.899,25,25,1.673,1.673,True
474,gate_v4,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L474_gate_20260625_064105.asset,8,gateFold:9+3:len 6+7->13:score 625->587:chains 178->177:open 25->23:outer 25->23:avg 15.899->14.684|gateFold:28+22:len 8+6->14:score 587->539:chains 177->176:open 23->21:outer 23->21:avg 14.684->13.676|gateFold:2+7:len 10+8->18:score 539->498:chains 176->175:open 21->19:outer 21->19:avg 13.676->13.331|gateFold:16+23:len 4+4->8:score 498->475:chains 175->174:open 19->18:outer 19->18:avg 13.331->12.661|gateFold:16+15:len 8+5->13:score 475->427:chains 174->173:open 18->17:outer 18->17:avg 12.661->12.497|gateFold:11+14:len 10+10->20:score 427->422:chains 173->172:open 17->16:outer 17->16:avg 12.497->12.517|gateFold:13+8:len 9+8->17:score 422->396:chains 172->171:open 16->15:outer 16->15:avg 12.517->11.596|gateFold:19+26:len 10+6->16:score 396->383:chains 171->170:open 15->14:outer 15->14:avg 11.596->11.735,MediumLeak,LowLeak,625,383,-242,178,170,1124,1124,25,14,25.6,18.2,15.899,11.735,25,14,1.673,1.686,True
183,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L183_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,622,622,0,103,103,749,749,31,31,29.2,29.2,13.825,13.825,31,31,1.833,1.833,True
183,gate_v4,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L183_gate_20260625_064105.asset,7,redirect:reverse:16:score 622->606:outer 31->30:open 31->30:avg 13.825->13.223|reverse:20:score 606->615:outer 30->29:open 30->29:avg 13.223->12.728|reverse:19:score 615->601:outer 29->28:open 29->28:avg 12.728->12.311|reverse:15:score 601->588:outer 28->27:open 28->27:avg 12.311->11.981|gateFold:49+30:len 4+13->17:score 588->546:chains 103->102:open 27->26:outer 27->26:avg 11.981->11.441|gateFold:55+58:len 10+13->23:score 546->531:chains 102->101:open 26->25:outer 26->25:avg 11.441->11.188|gateFold:46+49:len 8+7->15:score 531->511:chains 101->100:open 25->24:outer 25->24:avg 11.188->11.2,MediumLeak,MediumLeak,622,511,-111,103,100,749,749,31,24,29.2,21.6,13.825,11.2,31,24,1.833,1.789,True
494,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L494_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,604,604,0,192,192,1138,1138,27,27,26.3,26.3,15.766,15.766,27,27,1.842,1.842,True
494,gate_v4,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L494_gate_20260625_064105.asset,8,gateFold:13+22:len 5+5->10:score 604->576:chains 192->191:open 27->25:outer 27->25:avg 15.766->15.052|gateFold:39+5:len 6+9->15:score 576->543:chains 191->190:open 25->23:outer 25->23:avg 15.052->14.763|gateFold:19+14:len 7+6->13:score 543->503:chains 190->189:open 23->21:outer 23->21:avg 14.763->14.487|gateFold:7+5:len 7+6->13:score 503->464:chains 189->188:open 21->19:outer 21->19:avg 14.487->14.356|gateFold:31+19:len 9+4->13:score 464->437:chains 188->187:open 19->18:outer 19->18:avg 14.356->13.909|gateFold:21+5:len 6+10->16:score 437->410:chains 187->186:open 18->17:outer 18->17:avg 13.909->13.597|gateFold:18+21:len 4+4->8:score 410->383:chains 186->185:open 17->16:outer 17->16:avg 13.597->12.762|gateFold:1+38:len 7+4->11:score 383->364:chains 185->184:open 16->15:outer 16->15:avg 12.762->12.832,MediumLeak,LowLeak,604,364,-240,192,184,1138,1138,27,15,26.3,12.1,15.766,12.832,27,15,1.842,1.627,True
405,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L405_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,602,602,0,170,170,1050,1050,25,25,26.2,26.2,15.906,15.906,25,25,1.6,1.6,True
405,gate_v4,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L405_gate_20260625_064105.asset,8,redirect:reverse:12:score 602->575:outer 25->24:open 25->24:avg 15.906->14.747|reverse:7:score 575->581:outer 24->23:open 24->23:avg 14.747->14.624|reverse:24:score 581->555:outer 23->22:open 23->22:avg 14.624->13.876|gateFold:10+1:len 8+8->16:score 555->497:chains 170->169:open 22->20:outer 22->20:avg 13.876->12.148|gateFold:2+17:len 10+10->20:score 497->419:chains 169->168:open 20->18:outer 20->18:avg 12.148->11|gateFold:49+32:len 6+10->16:score 419->391:chains 168->167:open 18->17:outer 18->17:avg 11->10.084|gateFold:13+12:len 6+7->13:score 391->367:chains 167->166:open 17->16:outer 17->16:avg 10.084->9.783|gateFold:7+25:len 6+10->16:score 367->342:chains 166->165:open 16->15:outer 16->15:avg 9.783->9.564,MediumLeak,LowLeak,602,342,-260,170,165,1050,1050,25,15,26.2,15,15.906,9.564,25,15,1.6,1.587,True
490,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L490_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,601,601,0,199,199,1198,1198,28,28,27,27,14.643,14.643,28,28,1.696,1.696,True
490,gate_v4,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L490_gate_20260625_064105.asset,8,redirect:reverse:33:score 601->588:outer 28->27:open 28->27:avg 14.643->14.337|gateFold:47+21:len 8+7->15:score 588->553:chains 199->198:open 27->25:outer 27->25:avg 14.337->12.616|gateFold:3+22:len 8+6->14:score 553->514:chains 198->197:open 25->23:outer 25->23:avg 12.616->10.904|gateFold:11+10:len 8+6->14:score 514->486:chains 197->196:open 23->21:outer 23->21:avg 10.904->10.184|gateFold:39+33:len 8+4->12:score 486->448:chains 196->195:open 21->19:outer 21->19:avg 10.184->9.59|gateFold:32+47:len 5+9->14:score 448->427:chains 195->194:open 19->18:outer 19->18:avg 9.59->9.423|gateFold:32+25:len 14+6->20:score 427->412:chains 194->193:open 18->17:outer 18->17:avg 9.423->9.368|gateFold:27+25:len 6+6->12:score 412->392:chains 193->192:open 17->16:outer 17->16:avg 9.368->9.234,MediumLeak,LowLeak,601,392,-209,199,192,1198,1198,28,16,27,15.8,14.643,9.234,28,16,1.696,1.682,True
343,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V4/hardening_L343_original_20260625_064105.asset,0,copy,MediumLeak,MediumLeak,600,600,0,135,135,966,966,31,31,28.2,28.2,12.385,12.385,31,31,1.923,1.923,True
