campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeChains,afterChains,beforeArrowTiles,afterArrowTiles,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
425,skipped_v5,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,,0,skip_size_or_low_opening_for_visible_gate_probe,HighLeak,HighLeak,676,676,0,213,213,1320,1320,27,27,27.9,27.9,18.343,18.343,27,27,1.624,1.624,True
387,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V5/hardening_L387_original_20260625_075227.asset,0,copy,HighLeak,HighLeak,662,662,0,149,149,1096,1096,34,34,30.9,30.9,15.799,15.799,34,34,1.896,1.896,True
387,visible_gate_v5,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V5/hardening_L387_visible_gate_20260625_075227.asset,3,visibleGate:t26:hookA_hook3:path 1505-1463-1421:score 662->606:chains 149->150:tiles 1096->1099:open 34->31:outer 34->31:avg 15.799->13.253|visibleGate:t27:hookA_bendF3:path 1389-1347-1348:score 606->569:chains 150->151:tiles 1099->1102:open 31->29:outer 31->29:avg 13.253->11.636|visibleGate:t150:hookA_bendF3:path 1472-1430-1431:score 569->530:chains 151->152:tiles 1102->1105:open 29->26:outer 29->26:avg 11.636->10.967,HighLeak,MediumLeak,662,530,-132,149,152,1096,1105,34,26,30.9,22.7,15.799,10.967,34,26,1.896,1.77,True
474,skipped_v5,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,,0,not_visible_gate_enough:none,MediumLeak,MediumLeak,625,625,0,178,178,1124,1124,25,25,25.6,25.6,15.899,15.899,25,25,1.673,1.673,True
183,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V5/hardening_L183_original_20260625_075227.asset,0,copy,MediumLeak,MediumLeak,622,622,0,103,103,749,749,31,31,29.2,29.2,13.825,13.825,31,31,1.833,1.833,True
183,visible_gate_v5,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V5/hardening_L183_visible_gate_20260625_075227.asset,3,visibleGate:t49:hookA_hook3:path 622-621-620:score 622->578:chains 103->104:tiles 749->752:open 31->29:outer 31->29:avg 13.825->11.962|visibleGate:t20:hookB_hook3:path 1485-1443-1401:score 578->565:chains 104->105:tiles 752->755:open 29->27:outer 29->27:avg 11.962->10.505|visibleGate:t19:hookA_bendF3:path 1413-1412-1370:score 565->535:chains 105->106:tiles 755->758:open 27->25:outer 27->25:avg 10.505->9.887,MediumLeak,MediumLeak,622,535,-87,103,106,749,758,31,25,29.2,21.8,13.825,9.887,31,25,1.833,1.901,True
494,skipped_v5,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,,0,skip_size_or_low_opening_for_visible_gate_probe,MediumLeak,MediumLeak,604,604,0,192,192,1138,1138,27,27,26.3,26.3,15.766,15.766,27,27,1.842,1.842,True
405,skipped_v5,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,,0,not_visible_gate_enough:none,MediumLeak,MediumLeak,602,602,0,170,170,1050,1050,25,25,26.2,26.2,15.906,15.906,25,25,1.6,1.6,True
490,skipped_v5,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,,0,skip_size_or_low_opening_for_visible_gate_probe,MediumLeak,MediumLeak,601,601,0,199,199,1198,1198,28,28,27,27,14.643,14.643,28,28,1.696,1.696,True
343,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V5/hardening_L343_original_20260625_075227.asset,0,copy,MediumLeak,MediumLeak,600,600,0,135,135,966,966,31,31,28.2,28.2,12.385,12.385,31,31,1.923,1.923,True
