campaignOrder,variant,sourcePath,assetPath,acceptedOps,operations,beforeStatus,afterStatus,beforeScore,afterScore,deltaScore,beforeOpening,afterOpening,beforeEarlyAvg,afterEarlyAvg,beforeAvgChoices,afterAvgChoices,beforeOuter,afterOuter,beforeDependency,afterDependency,greedySolved
425,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L425_original_20260624_224903.asset,0,copy,HighLeak,HighLeak,676,676,0,27,27,27.9,27.9,18.343,18.343,27,27,1.624,1.624,True
425,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L425_light_20260624_224903.asset,2,reverse:7:score 676->653:outer 27->26:open 27->26|reverse:22:score 653->621:outer 26->25:open 26->25,HighLeak,MediumLeak,676,621,-55,27,25,27.9,25.9,18.343,15.127,27,25,1.624,1.628,True
425,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_33_direct_advanced_veryhard_rect_lock_buckle_g0_v05.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L425_heavy_20260624_224903.asset,4,reverse:7:score 676->653:outer 27->26:open 27->26|reverse:22:score 653->621:outer 26->25:open 26->25|reverse:24:score 621->584:outer 25->24:open 25->24|reverse:23:score 584->565:outer 24->23:open 24->23,HighLeak,MediumLeak,676,565,-111,27,23,27.9,23.9,18.343,14.061,27,23,1.624,1.611,True
387,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L387_original_20260624_224903.asset,0,copy,HighLeak,HighLeak,662,662,0,34,34,30.9,30.9,15.799,15.799,34,34,1.896,1.896,True
387,light,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L387_light_20260624_224903.asset,2,reverse:27:score 662->636:outer 34->33:open 34->33|reverse:18:score 636->621:outer 33->32:open 33->32,HighLeak,MediumLeak,662,621,-41,34,32,30.9,28.9,15.799,13.886,34,32,1.896,1.897,True
387,heavy,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L387_d20die_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L387_heavy_20260624_224903.asset,3,reverse:27:score 662->636:outer 34->33:open 34->33|reverse:18:score 636->621:outer 33->32:open 33->32|reverse:82:score 621->604:outer 32->31:open 32->31,HighLeak,MediumLeak,662,604,-58,34,31,30.9,27.9,15.799,13.268,34,31,1.896,1.864,True
474,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L474_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,625,625,0,25,25,25.6,25.6,15.899,15.899,25,25,1.673,1.673,True
474,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L474_light_20260624_224903.asset,2,reverse:9:score 625->605:outer 25->24:open 25->24|reverse:4:score 605->589:outer 24->23:open 24->23,MediumLeak,MediumLeak,625,589,-36,25,23,25.6,23.6,15.899,14.736,25,23,1.673,1.677,True
474,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_42_direct_advanced_veryhard_rect_dense_weave_g1_v06.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L474_heavy_20260624_224903.asset,4,reverse:9:score 625->605:outer 25->24:open 25->24|reverse:4:score 605->589:outer 24->23:open 24->23|reverse:8:score 589->568:outer 23->22:open 23->22|reverse:29:score 568->546:outer 22->21:open 22->21,MediumLeak,MediumLeak,625,546,-79,25,21,25.6,21.6,15.899,14.32,25,21,1.673,1.669,True
183,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L183_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,622,622,0,31,31,29.2,29.2,13.825,13.825,31,31,1.833,1.833,True
183,light,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L183_light_20260624_224903.asset,2,reverse:20:score 622->606:outer 31->30:open 31->30|reverse:44:score 606->588:outer 30->29:open 30->29,MediumLeak,MediumLeak,622,588,-34,31,29,29.2,27.2,13.825,12.485,31,29,1.833,1.797,True
183,heavy,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L183_heavy_20260624_224903.asset,3,reverse:20:score 622->606:outer 31->30:open 31->30|reverse:44:score 606->588:outer 30->29:open 30->29|reverse:19:score 588->573:outer 29->28:open 29->28,MediumLeak,MediumLeak,622,573,-49,31,28,29.2,26.2,13.825,12.058,31,28,1.833,1.773,True
494,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L494_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,604,604,0,27,27,26.3,26.3,15.766,15.766,27,27,1.842,1.842,True
494,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L494_light_20260624_224903.asset,1,reverse:22:score 604->587:outer 27->26:open 27->26,MediumLeak,MediumLeak,604,587,-17,27,26,26.3,25.3,15.766,15.229,27,26,1.842,1.843,True
494,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_02_direct_advanced_veryhard_rect_dense_weave_g0_v01.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L494_heavy_20260624_224903.asset,1,reverse:22:score 604->587:outer 27->26:open 27->26,MediumLeak,MediumLeak,604,587,-17,27,26,26.3,25.3,15.766,15.229,27,26,1.842,1.843,True
405,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L405_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,602,602,0,25,25,26.2,26.2,15.906,15.906,25,25,1.6,1.6,True
405,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L405_light_20260624_224903.asset,2,reverse:12:score 602->575:outer 25->24:open 25->24|reverse:13:score 575->545:outer 24->23:open 24->23,MediumLeak,MediumLeak,602,545,-57,25,23,26.2,24.2,15.906,13.6,25,23,1.6,1.565,True
405,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_17_direct_polish_hard_pure_rect_maze_long_chain_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L405_heavy_20260624_224903.asset,4,reverse:12:score 602->575:outer 25->24:open 25->24|reverse:13:score 575->545:outer 24->23:open 24->23|reverse:7:score 545->526:outer 23->22:open 23->22|reverse:21:score 526->499:outer 22->21:open 22->21,MediumLeak,MediumLeak,602,499,-103,25,21,26.2,22.2,15.906,12.771,25,21,1.6,1.564,True
490,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L490_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,601,601,0,28,28,27,27,14.643,14.643,28,28,1.696,1.696,True
490,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L490_light_20260624_224903.asset,2,reverse:11:score 601->586:outer 28->27:open 28->27|reverse:3:score 586->560:outer 27->26:open 27->26,MediumLeak,MediumLeak,601,560,-41,28,26,27,25,14.643,12.497,28,26,1.696,1.705,True
490,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_24_direct_advanced_veryhard_rect_section_unlock_g2_v03.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L490_heavy_20260624_224903.asset,4,reverse:11:score 601->586:outer 28->27:open 28->27|reverse:3:score 586->560:outer 27->26:open 27->26|reverse:33:score 560->541:outer 26->25:open 26->25|reverse:47:score 541->523:outer 25->24:open 25->24,MediumLeak,MediumLeak,601,523,-78,28,24,27,23.3,14.643,10.668,28,24,1.696,1.674,True
343,original,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L343_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,600,600,0,31,31,28.2,28.2,12.385,12.385,31,31,1.923,1.923,True
343,light,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L343_light_20260624_224903.asset,2,reverse:17:score 600->582:outer 31->30:open 31->30|reverse:9:score 582->565:outer 30->29:open 30->29,MediumLeak,MediumLeak,600,565,-35,31,29,28.2,26.2,12.385,11,31,29,1.923,1.972,True
343,heavy,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L343_skeletonskull_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L343_heavy_20260624_224903.asset,3,reverse:17:score 600->582:outer 31->30:open 31->30|reverse:9:score 582->565:outer 30->29:open 30->29|reverse:35:score 565->494:outer 29->28:open 29->28,MediumLeak,MediumLeak,600,494,-106,31,28,28.2,25.2,12.385,9.919,31,28,1.923,2.056,True
449,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L449_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,598,598,0,28,28,26.2,26.2,11.547,11.547,28,28,1.706,1.706,True
449,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L449_light_20260624_224903.asset,2,reverse:26:score 598->582:outer 28->27:open 28->27|reverse:7:score 582->567:outer 27->26:open 27->26,MediumLeak,MediumLeak,598,567,-31,28,26,26.2,24.2,11.547,10.751,28,26,1.706,1.755,True
449,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L449_heavy_20260624_224903.asset,4,reverse:26:score 598->582:outer 28->27:open 28->27|reverse:7:score 582->567:outer 27->26:open 27->26|reverse:0:score 567->551:outer 26->25:open 26->25|reverse:14:score 551->535:outer 25->24:open 25->24,MediumLeak,MediumLeak,598,535,-63,28,24,26.2,22.2,11.547,9.818,28,24,1.706,1.726,True
382,original,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L382_original_20260624_224903.asset,0,copy,MediumLeak,MediumLeak,598,598,0,24,24,22.1,22.1,15.74,15.74,24,24,1.659,1.659,True
382,light,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L382_light_20260624_224903.asset,2,reverse:72:score 598->583:outer 24->23:open 24->23|reverse:25:score 583->567:outer 23->22:open 23->22,MediumLeak,MediumLeak,598,567,-31,24,22,22.1,20.1,15.74,14.473,24,22,1.659,1.602,True
382,heavy,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_14_direct_polish_hard_pure_rect_stair_push_g11_v09.asset,Assets/ArrowMagic/SOData/Levels/Campaign500HardeningSandbox/V1/hardening_L382_heavy_20260624_224903.asset,4,reverse:72:score 598->583:outer 24->23:open 24->23|reverse:25:score 583->567:outer 23->22:open 23->22|reverse:23:score 567->532:outer 22->21:open 22->21|reverse:68:score 532->509:outer 21->20:open 21->20,MediumLeak,MediumLeak,598,509,-89,24,20,22.1,18.1,15.74,13.22,24,20,1.659,1.608,True
