order,oldLevelId,oldWidth,oldHeight,oldChains,newLevelId,newWidth,newHeight,newChains,newPlayableFill,newOpeningMoves,newProfile,newPath
2,hole_proc_standard_16x18_early_911009_16x18_c52,16,18,52,hole_proc_standard_16x18_early_911009_16x18_c52,16,18,52,1,52,standard_16x18_early,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_911009_16x18_c52.asset
17,hole_proc_standard_17x19_early_912055_17x19_c54,17,19,54,hole_proc_standard_17x19_early_912055_17x19_c54,17,19,54,1,54,standard_17x19_early,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_17x19_early_912055_17x19_c54.asset
37,hole_proc_standard_18x20_early_913101_18x20_c56,18,20,56,hole_proc_standard_18x20_early_913101_18x20_c56,18,20,56,1,56,standard_18x20_early,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_913101_18x20_c56.asset
61,hole_proc_standard_18x22_small_915701_18x22_c61,18,22,61,hole_proc_standard_18x22_small_915701_18x22_c61,18,22,61,1,60,standard_18x22_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_915701_18x22_c61.asset
82,hole_proc_standard_19x23_small_915193_19x23_c62,19,23,62,hole_proc_standard_19x23_small_915193_19x23_c62,19,23,62,1,62,standard_19x23_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_915193_19x23_c62.asset
117,hole_proc_standard_20x24_small_917275_20x24_c65,20,24,65,hole_proc_standard_20x24_small_917275_20x24_c65,20,24,65,1,64,standard_20x24_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_917275_20x24_c65.asset
142,hole_proc_standard_21x25_small_918321_21x25_c69,21,25,69,hole_proc_standard_21x25_small_918321_21x25_c69,21,25,69,1,66,standard_21x25_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_918321_21x25_c69.asset
167,hole_proc_standard_22x26_mid_918849_22x26_c74,22,26,74,hole_proc_standard_22x26_mid_918849_22x26_c74,22,26,74,1,68,standard_22x26_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_918849_22x26_c74.asset
192,hole_proc_standard_24x28_mid_920423_24x28_c76,24,28,76,hole_proc_standard_24x28_mid_920423_24x28_c76,24,28,76,1,72,standard_24x28_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920423_24x28_c76.asset
217,hole_proc_standard_23x28_mid_919377_23x28_c78,23,28,78,hole_proc_standard_23x28_mid_919377_23x28_c78,23,28,78,1,72,standard_23x28_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919377_23x28_c78.asset
242,hole_proc_standard_24x30_mid_921469_24x30_c82,24,30,82,hole_proc_standard_24x30_mid_921469_24x30_c82,24,30,82,1,76,standard_24x30_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921469_24x30_c82.asset
267,hole_proc_standard_24x32_late_923033_24x32_c86,24,32,86,hole_proc_standard_24x32_late_923033_24x32_c86,24,32,86,1,80,standard_24x32_late,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923033_24x32_c86.asset
292,hole_proc_standard_24x32_late_923551_24x32_c91,24,32,91,hole_proc_standard_24x32_late_923551_24x32_c91,24,32,91,1,80,standard_24x32_late,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923551_24x32_c91.asset
317,hole_proc_standard_24x30_mid_922505_24x30_c82,24,30,82,hole_proc_standard_24x30_mid_922505_24x30_c82,24,30,82,1,76,standard_24x30_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_922505_24x30_c82.asset
342,hole_proc_standard_23x28_mid_920413_23x28_c81,23,28,81,hole_proc_standard_23x28_mid_920413_23x28_c81,23,28,81,1,72,standard_23x28_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_920413_23x28_c81.asset
367,hole_proc_standard_24x28_mid_920941_24x28_c81,24,28,81,hole_proc_standard_24x28_mid_920941_24x28_c81,24,28,81,1,72,standard_24x28_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920941_24x28_c81.asset
392,hole_proc_standard_22x26_mid_919367_22x26_c77,22,26,77,hole_proc_standard_22x26_mid_919367_22x26_c77,22,26,77,1,68,standard_22x26_mid,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_919367_22x26_c77.asset
417,hole_proc_standard_21x25_small_917285_21x25_c74,21,25,74,hole_proc_standard_21x25_small_917285_21x25_c74,21,25,74,1,66,standard_21x25_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_917285_21x25_c74.asset
442,hole_proc_standard_24x32_late_922515_24x32_c91,24,32,91,hole_proc_standard_24x32_late_922515_24x32_c91,24,32,91,1,80,standard_24x32_late,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset
467,hole_proc_standard_20x24_small_916239_20x24_c68,20,24,68,hole_proc_standard_20x24_small_916239_20x24_c68,20,24,68,1,64,standard_20x24_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_916239_20x24_c68.asset
492,hole_proc_standard_18x22_small_914147_18x22_c65,18,22,65,hole_proc_standard_18x22_small_914147_18x22_c65,18,22,65,1,60,standard_18x22_small,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_914147_18x22_c65.asset
