order,bucket,type,chains,score,levelId,path,packs,families,qualityFlags,coverage,openers,avgChoices
1,refresh,tutorial,6,25,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,tutorial_simple,fixed_front20:tutorial_simple:1,fixed_front20,,,
2,front20,hole_rescue,22,67,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,hole_mask_early_front,restored-early-hole-2,restored-early-hole-2,0.451,,
3,refresh,normal,19,170,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3_tiny_preview,level3-tiny-pack-third,level3-tiny-pack-third,0.968,5,7
4,refresh,shape,30,105,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,shape_early_prop,fixed_front20:shape_early_prop:1,fixed_front20,,,
5,refresh,normal,26,82,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,normal_campaign500,fixed_front20:normal_campaign500:58,fixed_front20,,,
6,refresh,shape,32,109,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,shape_early_prop,fixed_front20:shape_early_prop:2,fixed_front20,,,
7,refresh,lock,39,117,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,no_mask_style_expansion_preview,front20_replace:motif:double_room_lock,fixed_front20_replace,0.981,14,8.41
8,normal,normal,46,131,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,normal_campaign500,fixed_front20:normal_campaign500:30,fixed_front20,,,
9,refresh,shape,32,109,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,shape_early_prop,fixed_front20:shape_early_prop:3,fixed_front20,,,
10,hard,lock,60,237,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,direct_pure_topup_slice01_candidates,front20_replace:direct_refresh:core_burst:g2,fixed_front20_replace,0.984,10,5.08
