"order","status","severity","flags","bucket","type","relativeDifficulty","slotRole","width","height","chains","levelId","assetPath"
"1","Yellow","24","HardBottleneckHeavy","refresh","tutorial","","","10","7","6","tutorial_simple_01_hi","Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset"
"22","Yellow","16","StartFakeWide","refresh","dense","Normal","Observe","20","29","68","nomask_style_expansion_15_dense_kernel_mid","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_15_dense_kernel_mid.asset"
"23","Yellow","30","StartFakeWide|BottleneckHeavy","refresh","shape_magic","Novelty","MagicShape","30","44","80","r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset"
"36","Yellow","20","BottleneckHeavy|PeakTooFlat","normal","lock","Hard","Pressure","23","40","115","direct_normal_31_direct_normal_rect_outer_shell_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset"
"38","Yellow","16","StartFakeWide","normal","dense","Normal","Normal","20","34","99","direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset"
"47","Yellow","18","GrindyLowClear","normal","maze","Recovery","Recovery","21","34","100","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01.asset"
"54","Yellow","18","GrindyLowClear","refresh","shape_magic","Novelty","MagicShape","30","42","88","r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset"
"55","Yellow","16","StartFakeWide","normal","section","Normal","Normal","22","34","105","direct_normal_08_direct_normal_rect_stair_push_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset"
"86","Yellow","16","StartFakeWide","normal","shape_magic","Novelty","MagicShape","30","40","96","r2_outer_strong_005_r2_006_a401_procmask_12_lock_maskproceduralvertical_30x40-maingemtall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_12_lock_maskproceduralvertical_30x40-maingemtall_20260611_110450.asset"
"90","Yellow","18","GrindyLowClear","hard","section","VeryHard","Peak","25","40","159","direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06.asset"
"92","Yellow","18","GrindyLowClear","normal","shape_magic","Novelty","MagicShape","30","42","113","r2_outer_strong_005_r2_006_a401_procmask_78_onion_maskproceduralvertical_30x42-mainmagicscrolltall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_78_onion_maskproceduralvertical_30x42-mainmagicscrolltall_20260611_111333.asset"
"127","Yellow","18","GrindyLowClear","hard","section","VeryHard","Peak","22","43","154","direct_pure_topup_07_15_direct_polish_hard_pure_rect_dual_zone_g10_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_15_direct_polish_hard_pure_rect_dual_zone_g10_v02.asset"
"140","Yellow","26","BottleneckHeavy|GrindyLowClear","normal","shape_magic","VeryHard","ShapePeak","36","50","152","r2_outer_strong_005_r2_006_a401_procmask_88_long_maskproceduralvertical_36x50-transitionmagicportaltall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_88_long_maskproceduralvertical_36x50-transitionmagicportaltall_20260611_111408.asset"
"158","Yellow","16","StartFakeWide","normal","shape_ocean","VeryHard","ShapePeak","36","50","143","r2_outer_strong_005_r2_006_a401_procmask_71_long_maskproceduralvertical_36x50-transitionoceandivinghelmettall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_71_long_maskproceduralvertical_36x50-transitionoceandivinghelmettall_20260611_111301.asset"
"166","Yellow","18","GrindyLowClear","normal","shape_toolui","Novelty","ShapeVisual","30","42","96","r2_outer_strong_005_r2_006_a401_procmask_supp_09_onion_maskfinalsupplement_30x42-maintoolgeartall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_09_onion_maskfinalsupplement_30x42-maintoolgeartall_20260611_124319.asset"
"178","Yellow","18","GrindyLowClear","normal","shape_ocean","Normal","ShapeNormal","34","48","122","r2_outer_strong_005_r2_006_a401_procmask_111_onion_maskproceduralvertical_34x48-transitiondistinctseahorsetall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_111_onion_maskproceduralvertical_34x48-transitiondistinctseahorsetall_20260611_111708.asset"
"188","Yellow","18","GrindyLowClear","normal","dense","Normal","Normal","21","39","109","direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_11_direct_normal_topup_rect_dense_weave_g7_v02.asset"
"213","Yellow","18","GrindyLowClear","normal","shape_object","Novelty","ShapeVisual","30","42","107","r2_outer_strong_005_r2_006_a401_procmask_42_long_maskproceduralvertical_30x42-mainbackpacktall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_42_long_maskproceduralvertical_30x42-mainbackpacktall_20260611_110900.asset"
"220","Yellow","18","GrindyLowClear","normal","shape_landmark","VeryHard","ShapePeak","44","60","174","r2_outer_strong_005_r2_006_a401_procmask_141_long_maskproceduralvertical_44x60-bigmegamonument06tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_141_long_maskproceduralvertical_44x60-bigmegamonument06tall_20260611_112521.asset"
"223","Yellow","18","GrindyLowClear","normal","shape_landmark","Novelty","ShapeVisual","30","42","129","r2_outer_strong_005_r2_006_a401_procmask_30_onion_maskproceduralvertical_30x42-maintriumpharchtall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_30_onion_maskproceduralvertical_30x42-maintriumpharchtall_20260611_110546.asset"
"224","Yellow","28","StartFakeWide|PeakTooFlat","normal","shape_object","Hard","ShapePressure","30","40","114","r2_outer_strong_005_r2_006_a401_procmask_17_long_maskproceduralvertical_30x40-maincuptall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_17_long_maskproceduralvertical_30x40-maincuptall_20260611_110501.asset"
"233","Yellow","18","GrindyLowClear","normal","shape_nature","Novelty","ShapeVisual","30","40","91","r2_outer_strong_005_r2_006_a401_procmask_18_long_maskproceduralvertical_30x40-mainmushroomtall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_18_long_maskproceduralvertical_30x40-mainmushroomtall_20260611_110508.asset"
"235","Yellow","16","StartFakeWide","hard","maze","Hard","Pressure","23","40","152","direct_pure_topup_10_07_direct_polish_hard_pure_rect_maze_long_chain_g10_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_07_direct_polish_hard_pure_rect_maze_long_chain_g10_v08.asset"
"262","Yellow","18","GrindyLowClear","normal","section","Normal","Normal","20","41","111","direct_normal_129_direct_normal_rect_quasi_symmetry_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_129_direct_normal_rect_quasi_symmetry_g0_v13.asset"
"264","Yellow","18","GrindyLowClear","normal","shape_vehicle","Hard","ShapePressure","36","50","136","r2_outer_strong_005_r2_006_a401_procmask_135_long_maskproceduralvertical_36x50-transitioncarrier01tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_135_long_maskproceduralvertical_36x50-transitioncarrier01tall_20260611_112006.asset"
"271","Yellow","16","StartFakeWide","normal","lock","Recovery","Recovery","19","35","87","direct_pure_normal_extra_02_04_direct_normal_pure_extra_rect_core_burst_g18_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_04_direct_normal_pure_extra_rect_core_burst_g18_v04.asset"
"272","Yellow","18","GrindyLowClear","normal","maze","Normal","Normal","23","37","108","direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06.asset"
