order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,order_i,chains_i,score_f,openers_i,avgChoices_f,dep_i,_style,_pressure,slotRole,relativeDifficulty,template,styleKey,pressureScore
1,refresh,1,tutorial,25,tutorial_simple_01_hi,Assets/ArrowMagic/SOData/Levels/LevelImportV1/TutorialSimple/tutorial_simple_01_hi.asset,tutorial_simple,10,7,6,,,,,,,fixed_front20:tutorial_simple:1,fixed_front20,True,25,fixed_front20,1,6,25.0,0,0.0,0,tutorial_simple,10.5,FixedFront40,Tutorial,FixedFront40,tutorial_simple,10.5
2,front20,2,hole_rescue,67,seed_Arrowz_level_035_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset,hole_mask_early_front,16,18,22,0.451,,,,,,restored-early-hole-2,restored-early-hole-2,True,67,restored-early-hole-2,2,22,67.0,0,0.0,0,hole_rescue,34.06,FixedFront40,Mechanic,FixedFront40,hole_rescue,34.1
3,front20,3,normal,170,level3_tiny_03_level3_tiny_mini_maze_17,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3TinyPreview/level3_tiny_03_level3_tiny_mini_maze_17.asset,level3_tiny_preview,9,14,19,0.968,0.976,5,7,6,44,level3-tiny-pack-third,level3-tiny-pack-third,True,170,level3-tiny-pack-third,3,19,170.0,5,7.0,44,normal,31.539999999999992,FixedFront40,Recovery,FixedFront40,normal,31.5
4,refresh,4,shape,105,r2_outer_strong_005_r2_006_a401_earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_01_earlyglide_v2_maskearlyprop_20x24-earlyprop01crystalball_20260611_143446.asset,shape_early_prop,20,24,30,,,,,,,fixed_front20:shape_early_prop:1,fixed_front20,True,105,fixed_front20,4,30,105.0,0,0.0,0,shape_early_prop,17.700000000000003,FixedFront40,Novelty,FixedFront40,shape_early_prop,17.7
5,refresh,5,normal,82,nomask_style_01_hui_spiral,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset,normal_campaign500,16,23,26,,,,,,,fixed_front20:normal_campaign500:58,fixed_front20,True,82,fixed_front20,5,26,82.0,0,0.0,0,normal_campaign500,40.76,FixedFront40,Recovery,FixedFront40,normal_campaign500,40.8
6,refresh,6,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_02_earlyglide_v3_maskearlyprop_26x18-earlyprop02eraser_20260611_143449.asset,shape_early_prop,26,18,32,,,,,,,fixed_front20:shape_early_prop:2,fixed_front20,True,109,fixed_front20,6,32,109.0,0,0.0,0,shape_early_prop,20.42000000000001,FixedFront40,Novelty,FixedFront40,shape_early_prop,20.4
7,refresh,7,lock,117,nomask_style_expansion_08_double_room_lock_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_08_double_room_lock_b.asset,no_mask_style_expansion_preview,18,24,39,0.981,0.975,14,8.41,8,67,front20_replace:motif:double_room_lock,fixed_front20_replace,True,181.9,long-straight-run,7,39,117.0,14,8.41,67,motif,27.66700000000001,FixedFront40,Normal,FixedFront40,motif,27.7
8,normal,8,normal,131,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,normal_campaign500,16,22,46,,,,,,,fixed_front20:normal_campaign500:30,fixed_front20,True,131,fixed_front20,8,46,131.0,0,0.0,0,normal_campaign500,69.58,FixedFront40,Normal,FixedFront40,normal_campaign500,69.6
9,refresh,9,shape,109,r2_outer_strong_005_r2_006_a401_earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_03_earlysweep_v2_maskearlyprop_22x22-earlyprop03ruler_20260611_143450.asset,shape_early_prop,22,22,32,,,,,,,fixed_front20:shape_early_prop:3,fixed_front20,True,109,fixed_front20,9,32,109.0,0,0.0,0,shape_early_prop,20.42000000000001,FixedFront40,Novelty,FixedFront40,shape_early_prop,20.4
10,hard,10,lock,237,direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_22_direct_refresh_topup_rect_core_burst_g2_v03.asset,direct_pure_topup_slice01_candidates,14,27,60,0.984,1.000,10,5.08,13,192,front20_replace:direct_refresh:core_burst:g2,fixed_front20_replace,True,185.8,ok,10,60,237.0,10,5.08,192,direct_refresh,86.23599999999999,FixedFront40,Hard,FixedFront40,direct_refresh,86.2
11,front20,11,normal,128,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,normal_campaign500,12,18,31,0.968,,,,,,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30,True,128,level3-thirty-mini-maze-30,11,31,128.0,0,0.0,0,normal,54.04,FixedFront40,Recovery,FixedFront40,normal,54.0
12,refresh,12,normal,153,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,normal_campaign500,17,24,50,,,,,,,fixed_front20:normal_campaign500:63,fixed_front20,True,153,fixed_front20,12,50,153.0,0,0.0,0,normal_campaign500,77.53999999999999,FixedFront40,Normal,FixedFront40,normal_campaign500,77.5
13,refresh,13,shape,130,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,shape_early_prop,24,24,37,,,,,,,fixed_front20:shape_early_prop:4,fixed_front20,True,130,fixed_front20,13,37,130.0,0,0.0,0,shape_early_prop,29.200000000000003,FixedFront40,Novelty,FixedFront40,shape_early_prop,29.2
14,refresh,14,normal,121,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,normal_campaign500,15,21,42,,,,,,,fixed_front20:normal_campaign500:83,fixed_front20,True,121,fixed_front20,14,42,121.0,0,0.0,0,normal_campaign500,63.78,FixedFront40,Recovery,FixedFront40,normal_campaign500,63.8
15,refresh,15,section,147,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,direct_pure_topup_slice02_candidates,14,26,53,0.975,0.961,13,9.32,9,120,front20_replace:direct_refresh:dual_zone:g4,fixed_front20_replace,True,182.4,ok,15,53,147.0,13,9.32,120,direct_refresh,48.684,FixedFront40,Pressure,FixedFront40,direct_refresh,48.7
16,normal,16,lock,180,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,direct_pure_topup_slice02_candidates,15,29,54,0.979,1.000,12,4.87,12,148,front20_replace:direct_refresh:core_burst:g3,fixed_front20_replace,True,184.6,ok,16,54,180.0,12,4.87,148,direct_refresh,66.01400000000001,FixedFront40,Pressure,FixedFront40,direct_refresh,66.0
17,front20,17,hole_rescue,91,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,hole_mask_early_30_40,18,20,37,0.542,,,,,,early30to40-hole-17,early30to40-hole-17,True,91,early30to40-hole-17,17,37,91.0,0,0.0,0,hole_rescue,53.379999999999995,FixedFront40,Mechanic,FixedFront40,hole_rescue,53.4
18,normal,18,normal,155,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,normal_campaign500,18,25,53,,,,,,,fixed_front20:normal_campaign500:13,fixed_front20,True,155,fixed_front20,18,53,155.0,0,0.0,0,normal_campaign500,80.9,FixedFront40,Normal,FixedFront40,normal_campaign500,80.9
19,very_hard,19,lock,386,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,direct_pure_topup_slice06_candidates,19,37,94,0.986,1.000,11,9.45,20,426,front20_replace:direct_normal:lock_buckle:g8,fixed_front20_replace,True,190.0,ok,19,94,386.0,11,9.45,426,direct_normal,145.98000000000002,FixedFront40,VeryHard,FixedFront40,direct_normal,146.0
20,refresh,20,shell,112,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,no_mask_type_preview,15,22,41,0.991,1.000,8,5.54,9,103,front20_replace:asset:nomask_01_outer_shell,fixed_front20_replace,True,180.9,ok,20,41,112.0,8,5.54,103,asset,43.592999999999996,FixedFront40,Recovery,FixedFront40,asset,43.6
21,refresh,17,sweep,181.1,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,no_mask_style_preview,16,24,44,0.997,1.000,12,6.25,7,72,motif:snake_spine,ok,True,185.0,ok,21,44,181.1,12,6.25,72,snake_spine,51.068,FixedFront40,Normal,FixedFront40,snake_spine,51.1
22,refresh,522,section,150.5,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,no_mask_style_expansion_preview,16,24,55,0.987,1.000,14,8.53,10,154,motif:stair_ladder,ok,True,185.4,ok,22,55,150.5,14,8.53,154,stair_ladder,52.52600000000001,FixedFront40,Normal,FixedFront40,stair_ladder,52.5
23,shape,77,shape_magic,220,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,shape_final_with_supplement,30,44,80,0.503,,12,10.00,,0.12,shape:Magic:SpecialShape,NoRisk,True,220,MagicShape,23,80,220.0,12,10.0,0,Magic,84.8,FixedFront40,Normal,FixedFront40,Magic,84.8
24,refresh,94,section,160.4,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,direct_pure_topup_slice05_candidates,18,37,82,0.983,1.000,14,6.27,18,330,direct_normal:section_unlock:g9,ok,True,188.4,long-straight-run,24,82,160.4,14,6.27,330,section_unlock,91.536,FixedFront40,Normal,FixedFront40,section_unlock,91.5
25,normal,170,lock,153.1,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,21,35,98,0.990,0.991,13,9.42,23,520,direct_normal:lock_buckle:g16,ok,True,190.5,ok,25,98,153.1,13,9.42,520,lock_buckle,108.60199999999998,FixedFront40,Normal,FixedFront40,lock_buckle,108.6
26,refresh,98,sweep,160.0,direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08.asset,direct_pure_topup_slice06_candidates,18,34,83,0.975,0.990,17,8.23,15,306,direct_normal:sweep:g7,ok,True,187.3,ok,26,83,160.0,17,8.23,306,sweep,83.89599999999999,FixedFront40,Normal,FixedFront40,sweep,83.9
