"section10","normalCount","initialNormalChainAvg","finalNormalChainAvg","finalNormalMin","finalNormalMax","replacedNormalCount","sourcePools"
"1","6","32.7","37.7","6","52","5","Campaign500_HardGateUntil0910|kept|Campaign500NormalFullV1UnusedStrict"
"2","8","52.2","51.4","34","79","8","Campaign500_HardGateUntil0910"
"3","7","78.1","73.3","58","90","7","Campaign500_HardGateUntil0910|Campaign500NormalFullV1UnusedStrict"
"4","7","83.4","72.7","55","86","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"5","7","82.1","73.6","53","84","7","Campaign500_HardGateUntil0910|Campaign500NormalFullV1UnusedStrict"
"6","7","84.9","74.7","54","85","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"7","7","83.4","73.1","52","94","7","Campaign500_HardGateUntil0910|Campaign500NormalFullV1UnusedStrict"
"8","7","83.3","70.4","46","86","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300|Campaign500NormalFullV1UnusedStrict"
"9","7","82.9","72.3","43","93","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300|Campaign500NormalFullV1UnusedStrict"
"10","7","82.6","73.3","42","100","7","Campaign500_HardGateUntil0910|Campaign500NormalFullV1UnusedStrict"
"11","7","97","76.9","36","97","7","Campaign500_HardGateUntil0910|ExternalHardGateDedupFront300|HubMixedRefill30Front300"
"12","7","94.6","76.9","43","92","7","Campaign500_HardGateUntil0910|ExternalHardGateDedupFront300|NutationLongChainStrict60Front300"
"13","7","86.7","66.3","42","82","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|NutationLongChainStrict60Front300"
"14","7","88.4","77","50","99","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300|Campaign500NormalFullV1UnusedStrict"
"15","7","106.6","70.9","34","98","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|HubMixedRefill30Front300"
"16","7","93.9","78.6","69","99","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300|HubMixedRefill30Front300"
"17","7","99.3","73.7","37","109","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300|SeedV5LongChain30Front300"
"18","7","105.1","71.3","65","76","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"19","7","104.6","65.3","22","77","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300"
"20","7","102.9","71.9","24","125","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|NutationLongChainStrict60Front300"
"21","7","112.9","58.1","27","74","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|NutationLongChainStrict60Front300"
"22","7","101.7","68.1","59","71","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"23","7","116.3","66.9","58","73","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"24","7","114.1","58.4","26","69","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|NutationLongChainStrict60Front300"
"25","7","119.9","62.1","50","69","7","Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"26","7","121.6","59.4","26","70","7","Campaign500_HardGateUntil0910|Campaign500NormalFullV1UnusedStrict|SeedV5LongChain30Front300"
"27","7","123.6","50.4","22","65","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|NutationLongChainStrict60Front300"
"28","7","125.9","47","21","66","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300|Campaign500NormalFullV1UnusedStrict"
"29","7","133.7","33.3","15","54","7","SeedV5LongChain30Front300|Campaign500_HardGateUntil0910|NutationLongChainStrict60Front300"
"30","7","126.6","28.4","15","40","7","Campaign500_HardGateUntil0910|SeedV5LongChain30Front300"
"31","7","134.1","99.7","71","122","0","kept|OriginalV11Fallback"
"32","7","132.4","94.7","47","116","1","kept|HubMixedStrict30Refill"
"33","7","138.3","99.3","48","165","1","kept|OriginalV11Fallback|NutationLongChainStrict60"
"34","7","144.4","105.7","45","207","1","kept|NutationLongChainStrict60"
"35","7","153.3","109.4","54","213","2","kept|NutationLongChainStrict60"
"36","7","133.3","100.7","67","148","2","kept|NutationLongChainStrict60|HubMixedStrict30Refill"
"37","7","163.6","115.7","72","177","0","kept"
"38","7","142.9","109","67","157","1","kept|NutationLongChainStrict60"
"39","7","152","117.1","66","164","1","kept|OriginalV11Fallback|NutationLongChainStrict60"
"40","7","142.7","109.4","72","144","1","kept|OriginalV11Fallback|NutationLongChainStrict60"
"41","7","145.4","107.1","68","155","0","kept"
"42","7","145","109.7","69","149","2","kept|NutationLongChainStrict60|HubMixedStrict30Refill"
"43","7","161.9","111.9","66","180","2","kept|NutationLongChainStrict60"
"44","7","159.3","123","79","164","2","kept|NutationLongChainStrict60|OriginalV11Fallback"
"45","7","162.7","133.4","86","196","1","kept|OriginalV11Fallback|NutationLongChainStrict60"
"46","7","162.3","113.6","74","156","1","kept|NutationLongChainStrict60"
"47","7","157.4","125.1","65","168","2","kept|NutationLongChainStrict60|OriginalV11Fallback"
"48","7","166","119.9","46","231","2","kept|NutationLongChainStrict60"
"49","7","166","136.3","71","213","2","kept|NutationLongChainStrict60"
"50","7","158","119.7","71","192","1","kept|NutationLongChainStrict60"
