"sectionBand","sectionWaveRole","sectionsPresent","initialChainAvg","finalChainAvg","finalMinAvg","finalMaxAvg"
"01-10","Normal","10","64","60.6","32","78"
"11-20","Normal","10","87.6","71.3","64.7","77.5"
"21-30","Normal","10","103.7","59.3","38","71.3"
"31-40","Normal","10","118.7","95","54","128.7"
"41-50","Normal","9","148.7","136.6","69.5","171.5"
"01-10","Recovery","5","71.1","62","51","70"
"11-20","Recovery","10","93.6","74.8","45","87"
"21-30","Recovery","10","107.5","59.4","29","71"
"31-40","Recovery","10","126.4","115.2","45","157"
"41-50","Recovery","10","140.9","120.9","74","180"
"01-10","Hard","10","88","76.8","46","91"
"11-20","Hard","10","104","66.4","24","82"
"21-30","Hard","10","133.1","47.7","17","68"
"31-40","Hard","10","167.8","108.4","79","150.7"
"41-50","Hard","10","165.8","106.6","76","147.3"
"01-10","PeakExtreme","10","97.6","80.7","52","100"
"11-20","PeakExtreme","10","113","80.6","22","125"
"21-30","PeakExtreme","10","171.7","37.2","15","61"
"31-40","PeakExtreme","10","196.2","86.7","71","100"
"41-50","PeakExtreme","10","195.2","94","84","121"
