"section10","sectionWaveRole","count","initialChainAvg","finalChainAvg","finalMin","finalMax","orders"
"1","Hard","1","46","46","46","46","8"
"1","Normal","4","22.5","32","6","50","1|3|5|7"
"1","PeakExtreme","1","60","52","52","52","10"
"2","Hard","1","54","56","56","56","16"
"2","Normal","6","45","46","34","55","11|12|14|15|18|20"
"2","PeakExtreme","1","94","79","79","79","19"
"3","Hard","1","98","89","89","89","25"
"3","Normal","5","70.2","66.8","58","79","21|22|24|28|30"
"3","PeakExtreme","1","98","90","90","90","29"
"4","Hard","1","103","72","72","72","40"
"4","Normal","5","76","70.2","55","79","31|33|34|35|36"
"4","PeakExtreme","1","101","86","86","86","39"
"5","Hard","2","87.5","81.5","79","84","44|49"
"5","Normal","1","80","76","76","76","42"
"5","PeakExtreme","1","117","84","84","84","47"
"5","Recovery","3","67.7","64","53","72","41|45|50"
"6","Hard","1","87","75","75","75","52"
"6","Normal","2","89","78","74","82","55|57"
"6","PeakExtreme","2","92.5","82","79","85","56|59"
"6","Recovery","2","72","64","54","74","51|60"
"7","Hard","2","101.5","87.5","81","94","69|70"
"7","Normal","3","62.7","61.7","52","67","62|64|68"
"7","PeakExtreme","1","104","82","82","82","65"
"7","Recovery","1","89","70","70","70","66"
"8","Hard","1","103","83","83","83","75"
"8","Normal","3","74.7","67","46","82","74|77|80"
"8","PeakExtreme","2","99","79","72","86","72|76"
"8","Recovery","1","58","51","51","51","79"
"9","Hard","3","95.7","86.7","80","93","84|88|90"
"9","Normal","1","55","51","51","51","86"
"9","PeakExtreme","1","100","73","73","73","89"
"9","Recovery","2","69","61","43","79","81|85"
"10","Hard","2","104.5","91","82","100","94|97"
"10","Normal","4","64.8","57.8","42","94","92|95|99|100"
"10","PeakExtreme","1","110","100","100","100","96"
"11","Hard","2","109.5","66.5","36","97","104|105"
"11","Normal","2","71.5","67","56","78","102|106"
"11","PeakExtreme","2","106.5","92","90","94","107|109"
"11","Recovery","1","104","87","87","87","110"
"12","Hard","1","89","82","82","82","116"
"12","Normal","1","74","70","70","70","115"
"12","PeakExtreme","2","105","67.5","43","92","112|119"
