"section10","ordinary","hard","peak","initialOrdinary","initialHard","initialPeak"
"1","32","46","52","22.5","46","60"
"2","46","56","79","45","54","94"
"3","66.8","89","90","70.2","98","98"
"4","70.2","72","86","76","103","101"
"5","67","81.5","84","70.8","87.5","117"
"6","71","75","82","80.5","87","92.5"
"7","63.8","87.5","82","69.2","101.5","104"
"8","63","83","79","70.5","103","99"
"9","57.7","86.7","73","64.3","95.7","100"
"10","57.8","91","100","64.8","104.5","110"
"11","73.7","66.5","92","82.3","109.5","106.5"
"12","80.2","82","67.5","90.8","89","105"
"13","69.2","76","42","82.4","93","102"
"14","69.8","80.5","99","79.5","94","113"
"15","81","37","98","102","112","114"
"16","73.8","82","86.5","86","106","103.5"
"17","67.2","69","109","84.5","116.5","124"
"18","72.8","71.5","65","100.8","109","115"
"19","72","75","22","103.4","103","112"
"20","70.8","24","125","95.4","108","135"
"21","71","31","61","104.8","109","153"
"22","70.5","68","59","89.5","105","144"
"23","69.7","66.3","60","103.3","113.7","163"
"24","62.8","66","26","94.5","125","171"
"25","66.8","50","51","110.4","137","150"
"26","66.8","56","26","109","147","159"
"27","61","26","22","104.8","157","184"
"28","48.6","63","23","109.8","131","201"
"29","34","34","29","108.8","143.5","214"
"30","33.4","17","15","109","163","178"
"31","104.6","82","93","111.6","181","200"
"32","92.8","99","100","112","134","233"
"33","93.2","114","94","106.5","169.5","203"
"34","87","146","100","110.2","177","216"
"35","81","150.7","71","115.7","179","189"
"36","95","124.5","76","113.8","151","176"
"37","128.2","84","85","148.6","198","204"
"38","119","79","89","133.4","147","186"
"39","124.2","124","75","136.8","168","181"
"40","120.2","81","84","130.4","173","174"
"41","92.7","126.7","92","117.3","156.7","196"
"42","106.5","125","92","126.2","153.5","203"
"43","122.6","84","86","143","205","213"
"44","135.6","99","84","151.4","164","194"
"45","135.3","147.3","86","135.3","184","181"
"46","116.5","118.5","92","144","168","224"
"47","154.5","77","104","154.5","135.5","213"
"48","121.7","127","93","141.7","184","185"
"49","151.4","76","121","173","108","189"
"50","143.2","86","89.5","149.8","199","154"
