chainId,orderForward,color,headX,headY,dir,length,cells
0,20,5,4,1,L,5,4:1;5:1;5:2;6:2;6:3
1,19,4,2,1,L,5,2:1;3:1;3:0;2:0;1:0
2,18,6,1,2,U,5,1:2;1:1;0:1;0:2;0:3
3,17,3,4,5,R,5,4:5;3:5;2:5;1:5;1:4
4,16,7,8,5,R,5,8:5;7:5;6:5;5:5;5:6
5,15,1,9,4,D,5,9:4;9:5;9:6;8:6;7:6
6,14,6,8,2,D,5,8:2;8:3;9:3;9:2;9:1
7,13,7,9,0,R,5,9:0;8:0;8:1;7:1;7:2
8,12,0,1,7,L,5,1:7;2:7;2:6;3:6;3:7
9,11,1,0,8,U,4,0:8;0:7;0:6;1:6
10,10,0,1,12,L,5,1:12;2:12;2:13;1:13;0:13
11,9,0,1,9,R,5,1:9;0:9;0:10;0:11;0:12
12,8,1,3,10,U,5,3:10;3:9;2:9;2:8;1:8
13,7,4,3,12,U,5,3:12;3:11;4:11;4:10;4:9
14,6,6,5,12,R,4,5:12;4:12;4:13;3:13
15,5,5,8,12,R,5,8:12;7:12;6:12;6:11;7:11
16,4,1,9,13,U,5,9:13;9:12;9:11;9:10;9:9
17,3,0,6,7,R,4,6:7;5:7;5:8;5:9
18,2,1,8,7,R,5,8:7;7:7;7:8;7:9;6:9
19,1,0,9,8,R,5,9:8;8:8;8:9;8:10;7:10
20,0,0,6,0,D,2,6:0;6:1
