section10,normalRows,activeNormalReplacements,targetChainsAvg,targetChainsMin,targetChainsMax,actualChainsAvg,actualChainsMin,actualChainsMax,effectiveLoadAvg,waveRoles,styleMix,chainMix,orders
1,6,5,32.7,6,60,44.0,36,52,44.9,Hard:1|Normal:4|PeakExtreme:1,flow:3|neutral:2,mixed_chain:2|patch_chain:2|rail_chain:1,1|3|5|7|8|10
2,8,8,52.2,31,94,51.4,34,79,54.1,Hard:1|Normal:6|PeakExtreme:1,flow:5|hardgate:1|neutral:2,curve_chain:1|mixed_chain:2|patch_chain:2|rail_chain:2|strict_peak_chain:1,11|12|14|15|16|18|19|20
3,7,7,78.1,55,98,73.3,58,90,78.2,Hard:1|Normal:5|PeakExtreme:1,flow:2|hardgate:1|neutral:2|peel:2,mixed_chain:4|patch_chain:1|rail_chain:2,21|22|24|25|28|29|30
4,7,7,83.4,61,103,72.7,55,86,81.1,Hard:1|Normal:5|PeakExtreme:1,flow:1|hardgate:1|longchain:1|neutral:2|peel:2,curve_chain:2|mixed_chain:2|rail_chain:2|spine_chain:1,31|33|34|35|36|39|40
5,7,7,82.1,62,117,73.6,53,84,78.7,Hard:2|Normal:1|PeakExtreme:1|Recovery:3,flow:1|hardgate:2|neutral:3|peel:1,curve_chain:1|mixed_chain:3|patch_chain:1|rail_chain:2,41|42|44|45|47|49|50
6,7,7,84.9,59,96,74.7,54,85,83.9,Hard:1|Normal:2|PeakExtreme:2|Recovery:2,flow:1|hardgate:2|longchain:1|neutral:1|peel:2,curve_chain:1|mixed_chain:2|rail_chain:3|spine_chain:1,51|52|55|56|57|59|60
7,7,7,83.4,59,104,73.1,52,94,80.0,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,flow:2|hardgate:1|neutral:2|peel:2,mixed_chain:3|patch_chain:1|rail_chain:3,62|64|65|66|68|69|70
8,7,7,83.3,48,104,70.4,46,86,79.9,Hard:1|Normal:3|PeakExtreme:2|Recovery:1,flow:2|hardgate:2|longchain:1|neutral:1|peel:1,curve_chain:1|mixed_chain:3|rail_chain:2|spine_chain:1,72|74|75|76|77|79|80
9,7,7,82.9,46,101,72.3,43,93,83.3,Hard:3|Normal:1|PeakExtreme:1|Recovery:2,flow:2|hardgate:3|longchain:1|neutral:1,curve_chain:1|mixed_chain:3|rail_chain:2|spine_chain:1,81|84|85|86|88|89|90
10,7,7,82.6,48,110,73.3,42,100,82.8,Hard:2|Normal:4|PeakExtreme:1,flow:3|hardgate:3|peel:1,curve_chain:1|mixed_chain:3|patch_chain:1|rail_chain:2,92|94|95|96|97|99|100
11,7,7,97.0,57,117,76.9,36,97,97.9,Hard:2|Normal:2|PeakExtreme:2|Recovery:1,hardgate:4|hub:2|longchain:1,curve_chain:1|family_profile_chain:1|mixed_chain:2|rail_chain:1|unknown_chain:2,102|104|105|106|107|109|110
12,7,7,94.6,74,108,76.9,43,92,95.9,Hard:1|Normal:1|PeakExtreme:2|Recovery:3,hardgate:4|longchain:2|neutral:1,curve_chain:1|long_chain:1|mixed_chain:3|rail_chain:1|spine_chain:1,111|112|114|115|116|119|120
13,7,7,86.7,51,102,66.3,42,82,82.4,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,flow:1|hardgate:2|longchain:2|neutral:1|peel:1,family_profile_chain:1|mixed_chain:2|patch_chain:1|rail_chain:3,121|122|124|125|128|129|130
14,7,7,88.4,56,113,77.0,50,99,88.4,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,flow:1|hardgate:3|longchain:1|neutral:2,mixed_chain:2|rail_chain:3|spine_chain:1|strict_peak_chain:1,131|132|134|136|137|139|140
15,7,7,106.6,95,114,70.9,34,98,104.0,Hard:2|Normal:2|PeakExtreme:1|Recovery:2,hardgate:3|hub:1|longchain:2|neutral:1,curve_chain:2|family_profile_chain:2|mixed_chain:1|rail_chain:2,141|144|145|146|148|149|150
16,7,7,93.9,76,113,78.6,69,99,89.0,Hard:1|Normal:3|PeakExtreme:2|Recovery:1,hardgate:3|hub:1|longchain:1|neutral:1|peel:1,curve_chain:1|mixed_chain:3|patch_chain:1|rail_chain:2,152|154|155|156|157|159|160
17,7,7,99.3,53,124,73.7,37,109,101.8,Hard:2|Normal:1|PeakExtreme:1|Recovery:3,flow:1|hardgate:2|longchain:3|neutral:1,choice_clamp_chain:1|family_profile_chain:1|mixed_chain:1|rail_chain:1|spine_chain:2|unknown_chain:1,161|162|164|165|166|169|170
18,7,7,105.1,92,115,71.3,65,76,84.9,Hard:2|Normal:1|PeakExtreme:1|Recovery:3,hardgate:3|longchain:2|neutral:2,choice_clamp_chain:1|mixed_chain:2|patch_chain:1|rail_chain:1|spine_chain:1|strict_peak_chain:1,171|172|174|175|176|179|180
19,7,7,104.6,88,113,65.3,22,77,84.7,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,hardgate:3|longchain:1|neutral:3,curve_chain:1|family_profile_chain:1|mixed_chain:3|rail_chain:1|strict_hard_chain:1,181|182|185|186|188|189|190
20,7,7,102.9,83,135,71.9,24,125,90.1,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,flow:1|hardgate:1|longchain:2|neutral:3,choice_clamp_chain:1|family_profile_chain:1|mixed_chain:3|patch_chain:1|rail_chain:1,191|194|195|196|197|199|200
21,7,7,112.9,94,153,58.1,27,74,80.6,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,hardgate:1|longchain:3|neutral:3,family_profile_chain:2|mixed_chain:3|patch_chain:1|rail_chain:1,202|204|205|206|208|209|210
22,7,7,101.7,80,144,68.1,59,71,78.7,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,hardgate:3|longchain:1|neutral:3,curve_chain:2|mixed_chain:3|spine_chain:1|strict_peak_chain:1,211|212|214|215|216|219|220
23,7,7,116.3,101,163,66.9,58,73,75.4,Hard:3|Normal:2|PeakExtreme:1|Recovery:1,hardgate:2|longchain:2|neutral:3,mixed_chain:3|spine_chain:2|strict_hard_chain:1|unknown_chain:1,221|222|224|226|227|229|230
24,7,7,114.1,54,171,58.4,26,69,69.9,Hard:2|Normal:1|PeakExtreme:1|Recovery:3,flow:1|hardgate:1|longchain:2|neutral:2|peel:1,choice_clamp_chain:1|family_profile_chain:1|mixed_chain:2|patch_chain:1|rail_chain:2,231|232|234|236|237|239|240
25,7,7,119.9,102,150,62.1,50,69,70.9,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,flow:2|hardgate:1|longchain:2|neutral:1|peel:1,curve_chain:1|mixed_chain:1|patch_chain:1|rail_chain:2|spine_chain:2,241|244|245|246|248|249|250
26,7,7,121.6,101,159,59.4,26,70,71.5,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,flow:1|hardgate:2|longchain:2|neutral:1|peel:1,curve_chain:2|family_profile_chain:1|mixed_chain:1|rail_chain:2|strict_hard_chain:1,252|254|255|256|257|259|260
27,7,7,123.6,97,184,50.4,22,65,71.6,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,hardgate:4|longchain:3,choice_clamp_chain:1|curve_chain:2|family_profile_chain:2|rail_chain:1|spine_chain:1,261|262|264|265|266|269|270
28,7,7,125.9,106,201,47.0,21,66,66.5,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,flow:1|hardgate:2|longchain:3|neutral:1,family_profile_chain:2|mixed_chain:1|patch_chain:1|rail_chain:1|spine_chain:1|strict_peak_chain:1,271|272|274|275|276|279|280
29,7,7,133.7,107,214,33.3,15,54,57.5,Hard:2|Normal:2|PeakExtreme:1|Recovery:2,flow:1|hardgate:1|longchain:5,family_profile_chain:4|rail_chain:2|spine_chain:1,281|282|284|286|287|289|290
30,7,7,126.6,105,178,28.4,15,40,41.5,Hard:1|Normal:2|PeakExtreme:1|Recovery:3,flow:4|longchain:3,curve_chain:1|family_profile_chain:3|patch_chain:1|rail_chain:2,291|294|295|296|297|299|300
31,7,0,134.1,102,200,,,,,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,,,302|304|305|306|308|309|310
32,7,1,132.4,103,233,99.0,99,99,,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,hub_spoke:1,mixed_chain:1,311|312|314|315|316|319|320
33,7,1,138.3,101,203,63.0,63,63,,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,maze_long_chain:1,spine_chain:1,321|322|324|326|328|329|330
34,7,1,144.4,103,216,85.0,85,85,,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,maze_long_chain:1,curve_chain:1,331|332|334|336|337|339|340
35,7,2,153.3,112,213,70.0,69,71,,Hard:3|Normal:1|PeakExtreme:1|Recovery:2,maze_long_chain:2,curve_chain:1|spine_chain:1,341|344|345|346|347|349|350
36,7,2,133.3,103,176,88.5,76,101,,Hard:2|Normal:2|PeakExtreme:1|Recovery:2,hub_spoke:1|maze_long_chain:1,mixed_chain:1|rail_chain:1,352|354|355|356|357|359|360
37,7,0,163.6,113,204,,,,,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,,,361|362|364|365|366|369|370
38,7,1,142.9,94,186,79.0,79,79,,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,maze_long_chain:1,curve_chain:1,371|372|374|375|376|379|380
39,7,1,152.0,116,181,75.0,75,75,,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,maze_long_chain:1,patch_chain:1,381|382|384|386|388|389|390
40,7,1,142.7,105,174,84.0,84,84,,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,maze_long_chain:1,patch_chain:1,391|394|395|396|397|399|400
41,7,0,145.4,84,196,,,,,Hard:3|Normal:2|PeakExtreme:1|Recovery:1,,,402|404|405|406|407|409|410
42,7,2,145.0,107,203,96.5,92,101,,Hard:2|Normal:1|PeakExtreme:1|Recovery:3,hub_spoke:1|maze_long_chain:1,mixed_chain:1|patch_chain:1,411|412|414|415|416|419|420
43,7,2,161.9,113,213,85.0,84,86,,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,maze_long_chain:2,curve_chain:1|rail_chain:1,421|422|424|425|428|429|430
44,7,2,159.3,112,194,91.5,84,99,,Hard:1|Normal:4|PeakExtreme:1|Recovery:1,hub_spoke:1|maze_long_chain:1,mixed_chain:1|patch_chain:1,431|432|434|436|437|439|440
45,7,1,162.7,105,197,86.0,86,86,,Hard:3|Normal:2|PeakExtreme:1|Recovery:1,maze_long_chain:1,rail_chain:1,441|444|445|446|448|449|450
46,7,1,162.3,117,224,92.0,92,92,,Hard:2|Normal:3|PeakExtreme:1|Recovery:1,maze_long_chain:1,curve_chain:1,452|454|455|456|457|459|460
47,7,2,157.4,111,213,96.5,89,104,,Hard:2|Normal:2|PeakExtreme:1|Recovery:2,maze_long_chain:2,curve_chain:1|patch_chain:1,461|462|464|465|466|469|470
48,7,2,166.0,106,231,83.0,73,93,,Hard:3|PeakExtreme:1|Recovery:3,maze_long_chain:2,curve_chain:1|spine_chain:1,471|472|474|475|476|479|480
49,7,2,166.0,108,213,98.5,76,121,,Hard:1|Normal:3|PeakExtreme:1|Recovery:2,maze_long_chain:2,patch_chain:2,481|482|485|486|488|489|490
50,7,1,158.0,97,200,108.0,108,108,,Hard:1|Normal:2|PeakExtreme:2|Recovery:2,maze_long_chain:1,curve_chain:1,491|494|495|496|497|499|500
