chainId,orderForward,color,headX,headY,dir,length,cells
0,29,5,10,5,R,5,10:5;9:5;9:4;8:4;8:3
1,28,3,10,3,D,5,10:3;10:4;11:4;11:5;11:6
2,27,1,10,2,R,3,10:2;9:2;9:3
3,26,6,11,2,D,2,11:2;11:3
4,25,3,10,1,L,5,10:1;11:1;11:0;10:0;9:0
5,24,4,7,1,D,5,7:1;7:2;8:2;8:1;9:1
6,23,3,6,0,L,3,6:0;7:0;8:0
7,22,6,3,1,L,5,3:1;4:1;4:0;3:0;2:0
8,21,1,1,3,U,5,1:3;1:2;1:1;0:1;0:0
9,20,2,2,6,L,5,2:6;3:6;3:7;2:7;1:7
10,19,3,0,7,U,5,0:7;0:6;1:6;1:5;0:5
11,18,7,1,9,L,5,1:9;2:9;2:8;1:8;0:8
12,17,6,1,11,U,4,1:11;1:10;0:10;0:9
13,16,4,2,13,R,5,2:13;1:13;1:14;1:15;0:15
14,15,2,5,14,U,5,5:14;5:13;6:13;7:13;8:13
15,14,4,5,15,R,5,5:15;4:15;4:14;3:14;3:13
16,13,7,11,14,U,5,11:14;11:13;10:13;10:14;10:15
17,12,6,3,11,R,5,3:11;2:11;2:12;1:12;0:12
18,11,5,9,14,U,4,9:14;9:13;9:12;9:11
19,10,2,5,2,D,5,5:2;5:3;6:3;6:2;6:1
20,9,5,5,0,D,2,5:0;5:1
21,8,1,7,15,U,5,7:15;7:14;8:14;8:15;9:15
22,7,5,7,9,R,5,7:9;6:9;6:10;5:10;5:11
23,6,6,9,7,R,5,9:7;8:7;8:8;8:9;9:9
24,5,0,11,9,R,4,11:9;10:9;10:8;10:7
25,4,0,9,10,R,5,9:10;8:10;8:11;7:11;7:12
26,3,6,11,10,R,5,11:10;10:10;10:11;11:11;11:12
27,2,7,1,4,L,4,1:4;2:4;2:5;3:5
28,1,5,6,15,U,2,6:15;6:14
29,0,7,2,15,U,2,2:15;2:14
