chainId,orderForward,color,headX,headY,dir,length,cells
0,37,5,9,10,R,5,9:10;8:10;8:11;7:11;7:12
1,36,7,11,9,D,5,11:9;11:10;10:10;10:9;9:9
2,35,4,12,1,D,5,12:1;12:2;11:2;11:3;11:4
3,34,6,13,0,R,3,13:0;12:0;11:0
4,33,7,11,6,R,5,11:6;10:6;10:5;9:5;9:6
5,32,6,11,8,L,4,11:8;12:8;12:7;12:6
6,31,5,7,5,D,5,7:5;7:6;6:6;6:7;6:8
7,30,3,6,2,D,5,6:2;6:3;7:3;7:4;6:4
8,29,1,6,1,L,4,6:1;7:1;7:2;8:2
9,28,1,5,1,U,5,5:1;5:0;6:0;7:0;8:0
10,27,3,3,1,D,5,3:1;3:2;4:2;5:2;5:3
11,26,4,2,0,L,2,2:0;3:0
12,25,1,2,2,U,5,2:2;2:1;1:1;1:0;0:0
13,24,0,3,8,L,5,3:8;4:8;4:9;3:9;2:9
14,23,1,1,7,L,5,1:7;2:7;2:8;1:8;0:8
15,22,3,0,5,L,5,0:5;1:5;1:6;0:6;0:7
16,21,3,5,9,U,3,5:9;5:8;5:7
17,20,5,5,10,L,5,5:10;6:10;6:9;7:9;7:8
18,19,7,2,11,U,5,2:11;2:10;3:10;4:10;4:11
19,18,0,5,13,R,5,5:13;4:13;4:14;3:14;2:14
20,17,7,7,13,R,5,7:13;6:13;6:12;5:12;5:11
21,16,0,9,13,U,5,9:13;9:12;10:12;10:13;11:13
22,15,1,11,16,R,5,11:16;10:16;9:16;9:17;10:17
23,14,0,11,15,L,5,11:15;12:15;12:16;13:16;13:17
24,13,3,5,15,L,5,5:15;6:15;7:15;8:15;9:15
25,12,5,2,15,L,5,2:15;3:15;4:15;4:16;5:16
26,11,6,1,15,U,4,1:15;1:14;0:14;0:15
27,10,1,1,16,L,2,1:16;2:16
28,9,7,0,17,U,2,0:17;0:16
29,8,7,9,14,R,4,9:14;8:14;8:13;8:12
30,7,3,13,13,R,5,13:13;12:13;12:14;11:14;10:14
31,6,4,2,13,L,5,2:13;3:13;3:12;2:12;1:12
32,5,7,0,13,L,2,0:13;1:13
33,4,7,7,17,U,5,7:17;7:16;6:16;6:17;5:17
34,3,1,3,4,L,5,3:4;4:4;4:3;3:3;2:3
35,2,3,1,4,L,5,1:4;2:4;2:5;3:5;3:6
36,1,6,0,2,L,5,0:2;1:2;1:3;0:3;0:4
37,0,7,13,9,R,5,13:9;12:9;12:10;13:10;13:11
