seed,chains,occupied,coverage,plannedSolved,plannedInitial,plannedAvg,plannedMax,greedySolved,greedyInitial,greedyAvg,greedyMax
98064,15,72,0.7500,True,3,1.333,3,True,3,2.267,3
94028,15,71,0.7396,True,3,1.267,3,True,3,2.133,3
111181,15,72,0.7500,True,3,1.867,3,True,3,1.600,3
113199,15,70,0.7292,True,3,1.800,3,True,3,2.400,3
114208,16,78,0.8125,True,4,2.000,4,True,4,3.500,4
101091,13,63,0.6562,True,3,1.615,3,True,3,1.846,3
97055,18,84,0.8750,True,5,2.389,5,True,5,3.056,5
106136,17,77,0.8021,True,5,1.941,5,True,5,2.882,5
108154,16,74,0.7708,True,5,2.188,5,True,5,3.188,5
92010,18,79,0.8229,True,6,2.278,6,True,6,3.056,6
105127,17,78,0.8125,True,6,2.235,6,True,6,3.235,6
109163,18,78,0.8125,True,6,2.500,6,True,6,4.500,6
103109,17,77,0.8021,True,6,2.824,6,True,6,4.294,6
96046,20,87,0.9062,True,7,3.200,7,True,7,5.450,7
93019,19,86,0.8958,True,7,3.263,7,True,7,5.211,9
100082,19,82,0.8542,True,7,2.842,7,True,7,3.737,7
112190,17,78,0.8125,True,7,2.529,7,True,7,3.824,7
91001,16,78,0.8125,True,7,3.000,7,True,7,3.938,7
102100,15,65,0.6771,True,6,2.733,6,True,6,3.867,6
107145,19,86,0.8958,True,8,3.158,8,True,8,4.632,8
110172,19,83,0.8646,True,8,3.368,8,True,8,4.632,8
99073,18,79,0.8229,True,8,2.889,8,True,8,4.444,8
104118,17,76,0.7917,True,8,3.118,8,True,8,5.824,8
95037,17,75,0.7812,True,8,3.353,8,True,8,5.176,8
